"","ID","Description","Count","GeneRatio","geneID"
"GO:0097722","GO:0097722","sperm motility",1,"1/50","LDHC"
"GO:0007389","GO:0007389","pattern specification process",1,"1/50","VAX2"
"GO:0033555","GO:0033555","multicellular organismal response to stress",1,"1/50","TRPA1"
"GO:0035265","GO:0035265","organ growth",1,"1/50","RAG2"
"GO:0048771","GO:0048771","tissue remodeling",1,"1/50","CARTPT"
"GO:0048871","GO:0048871","multicellular organismal-level homeostasis",1,"1/50","CARTPT"
"GO:0040012","GO:0040012","regulation of locomotion",1,"1/50","SELP"
"GO:0040017","GO:0040017","positive regulation of locomotion",1,"1/50","SELP"
"GO:0002358","GO:0002358","B cell homeostatic proliferation",1,"1/50","RAG2"
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction",1,"1/50","RFPL1"
"GO:0007623","GO:0007623","circadian rhythm",1,"1/50","CARTPT"
"GO:0042698","GO:0042698","ovulation cycle",1,"1/50","CA12"
"GO:0051050","GO:0051050","positive regulation of transport",1,"1/50","CARTPT"
"GO:0023057","GO:0023057","negative regulation of signaling",1,"1/50","CARTPT"
"GO:0048585","GO:0048585","negative regulation of response to stimulus",1,"1/50","CARTPT"
"GO:0051051","GO:0051051","negative regulation of transport",1,"1/50","CARTPT"
"GO:0043903","GO:0043903","regulation of biological process involved in symbiotic interaction",1,"1/50","RFPL1"
"GO:0051235","GO:0051235","maintenance of location",1,"1/50","FKBP1C"
"GO:0051640","GO:0051640","organelle localization",1,"1/50","MGARP"
