"","ID","Description","Count","GeneRatio","geneID"
"GO:0048523","GO:0048523","negative regulation of cellular process",6,"6/50","FKBP1C/MGARP/NGF/HSPB1/CMKLR1/GPR171"
"GO:0048856","GO:0048856","anatomical structure development",6,"6/50","MGARP/NGF/HSPB1/CMKLR1/RBP2/GPR171"
"GO:0023051","GO:0023051","regulation of signaling",6,"6/50","SCGN/NGF/HSPB1/CMKLR1/SELP/PDC"
"GO:0048519","GO:0048519","negative regulation of biological process",6,"6/50","FKBP1C/MGARP/NGF/HSPB1/CMKLR1/GPR171"
"GO:0048583","GO:0048583","regulation of response to stimulus",6,"6/50","NGF/HSPB1/CMKLR1/SELP/SELE/PDC"
"GO:0065008","GO:0065008","regulation of biological quality",6,"6/50","SCGN/HGFAC/NGF/HSPB1/CMKLR1/SELP"
"GO:0007275","GO:0007275","multicellular organism development",5,"5/50","MGARP/NGF/HSPB1/CMKLR1/GPR171"
"GO:0051239","GO:0051239","regulation of multicellular organismal process",5,"5/50","NGF/HSPB1/CMKLR1/SELP/GPR171"
"GO:0050793","GO:0050793","regulation of developmental process",5,"5/50","MGARP/NGF/HSPB1/CMKLR1/GPR171"
"GO:0009605","GO:0009605","response to external stimulus",5,"5/50","HSPB1/CMKLR1/SELP/SELE/PDC"
"GO:0042221","GO:0042221","response to chemical",5,"5/50","MGARP/HSPB1/CMKLR1/SELP/SELE"
"GO:0065009","GO:0065009","regulation of molecular function",5,"5/50","FKBP1C/NGF/HSPB1/CMKLR1/SELE"
"GO:0019222","GO:0019222","regulation of metabolic process",4,"4/50","NGF/HSPB1/CMKLR1/CPHXL"
"GO:0048869","GO:0048869","cellular developmental process",4,"4/50","MGARP/NGF/CMKLR1/GPR171"
"GO:0048870","GO:0048870","cell motility",4,"4/50","HSPB1/CMKLR1/SELP/SELE"
"GO:0071840","GO:0071840","cellular component organization or biogenesis",4,"4/50","MGARP/NGF/SELP/SELE"
"GO:0003008","GO:0003008","system process",4,"4/50","NPC1L1/NGF/PDC/GPR171"
"GO:0051240","GO:0051240","positive regulation of multicellular organismal process",4,"4/50","NGF/HSPB1/CMKLR1/SELP"
"GO:0040012","GO:0040012","regulation of locomotion",4,"4/50","HSPB1/CMKLR1/SELP/SELE"
"GO:0040017","GO:0040017","positive regulation of locomotion",4,"4/50","HSPB1/CMKLR1/SELP/SELE"
"GO:0048584","GO:0048584","positive regulation of response to stimulus",4,"4/50","NGF/HSPB1/CMKLR1/SELP"
"GO:0033036","GO:0033036","macromolecule localization",4,"4/50","MGARP/NPC1L1/HSPB1/RBP2"
"GO:0002684","GO:0002684","positive regulation of immune system process",3,"3/50","CMKLR1/SELP/SELE"
"GO:0050900","GO:0050900","leukocyte migration",3,"3/50","CMKLR1/SELP/SELE"
"GO:0009893","GO:0009893","positive regulation of metabolic process",3,"3/50","NGF/HSPB1/CMKLR1"
"GO:0007155","GO:0007155","cell adhesion",3,"3/50","HSPB1/SELP/SELE"
"GO:0051641","GO:0051641","cellular localization",3,"3/50","FKBP1C/MGARP/HSPB1"
"GO:0050817","GO:0050817","coagulation",3,"3/50","HGFAC/HSPB1/SELP"
"GO:0051094","GO:0051094","positive regulation of developmental process",3,"3/50","NGF/HSPB1/CMKLR1"
"GO:0048878","GO:0048878","chemical homeostasis",3,"3/50","SCGN/FKBP1C/NPC1L1"
"GO:0051707","GO:0051707","response to other organism",3,"3/50","HSPB1/SELP/SELE"
"GO:0023056","GO:0023056","positive regulation of signaling",3,"3/50","SCGN/NGF/SELP"
"GO:0009607","GO:0009607","response to biotic stimulus",3,"3/50","HSPB1/SELP/SELE"
"GO:0009628","GO:0009628","response to abiotic stimulus",3,"3/50","MGARP/HSPB1/PDC"
"GO:0009719","GO:0009719","response to endogenous stimulus",3,"3/50","MGARP/NGF/HSPB1"
"GO:0022414","GO:0022414","reproductive process",2,"2/50","PSG1/PSG6"
"GO:0009892","GO:0009892","negative regulation of metabolic process",2,"2/50","HSPB1/CMKLR1"
"GO:0044281","GO:0044281","small molecule metabolic process",2,"2/50","NPC1L1/RBP2"
"GO:0001775","GO:0001775","cell activation",2,"2/50","HSPB1/SELP"
"GO:0007017","GO:0007017","microtubule-based process",2,"2/50","MGARP/HSPB1"
"GO:0008219","GO:0008219","cell death",2,"2/50","NGF/HSPB1"
"GO:0016192","GO:0016192","vesicle-mediated transport",2,"2/50","CLEC4F/SELE"
"GO:0044703","GO:0044703","multi-organism reproductive process",2,"2/50","PSG1/PSG6"
"GO:0001816","GO:0001816","cytokine production",2,"2/50","HSPB1/CMKLR1"
"GO:0007610","GO:0007610","behavior",2,"2/50","NGF/GPR171"
"GO:0044706","GO:0044706","multi-multicellular organism process",2,"2/50","PSG1/PSG6"
"GO:0009653","GO:0009653","anatomical structure morphogenesis",2,"2/50","NGF/HSPB1"
"GO:0051093","GO:0051093","negative regulation of developmental process",2,"2/50","MGARP/GPR171"
"GO:0042330","GO:0042330","taxis",2,"2/50","HSPB1/CMKLR1"
"GO:0019725","GO:0019725","cellular homeostasis",2,"2/50","SCGN/FKBP1C"
"GO:0032879","GO:0032879","regulation of localization",2,"2/50","FKBP1C/SELE"
"GO:0002253","GO:0002253","activation of immune response",1,"1/50","CMKLR1"
"GO:0006955","GO:0006955","immune response",1,"1/50","CMKLR1"
"GO:0009056","GO:0009056","catabolic process",1,"1/50","HSPB1"
"GO:1990845","GO:1990845","adaptive thermogenesis",1,"1/50","CMKLR1"
"GO:0006457","GO:0006457","protein folding",1,"1/50","HSPB1"
"GO:0008283","GO:0008283","cell population proliferation",1,"1/50","NGF"
"GO:0016049","GO:0016049","cell growth",1,"1/50","NGF"
"GO:0030029","GO:0030029","actin filament-based process",1,"1/50","SELE"
"GO:0051651","GO:0051651","maintenance of location in cell",1,"1/50","FKBP1C"
"GO:0055085","GO:0055085","transmembrane transport",1,"1/50","FKBP1C"
"GO:0061919","GO:0061919","process utilizing autophagic mechanism",1,"1/50","HSPB1"
"GO:0007586","GO:0007586","digestion",1,"1/50","NPC1L1"
"GO:0048871","GO:0048871","multicellular organismal-level homeostasis",1,"1/50","CMKLR1"
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process",1,"1/50","CMKLR1"
"GO:0090130","GO:0090130","tissue migration",1,"1/50","HSPB1"
"GO:0048589","GO:0048589","developmental growth",1,"1/50","NGF"
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis",1,"1/50","HSPB1"
"GO:0040008","GO:0040008","regulation of growth",1,"1/50","NGF"
"GO:0045927","GO:0045927","positive regulation of growth",1,"1/50","NGF"
"GO:0051050","GO:0051050","positive regulation of transport",1,"1/50","SELE"
"GO:0023057","GO:0023057","negative regulation of signaling",1,"1/50","HSPB1"
"GO:0048585","GO:0048585","negative regulation of response to stimulus",1,"1/50","HSPB1"
"GO:0051606","GO:0051606","detection of stimulus",1,"1/50","PDC"
"GO:0051235","GO:0051235","maintenance of location",1,"1/50","FKBP1C"
"GO:0051640","GO:0051640","organelle localization",1,"1/50","MGARP"
